,Date,Study,Study Link,Journal,Detection Method,Sample (n),Measure of Evidence (Sn & Sp),Speed of assay,FDA approval,Study Type,Added By,Added on
14,2020-03-05,Molecular immune pathogenesis and diagnosis of COVID-19,https://covid19search.azurewebsites.net/home/document?docid=34e2f834075da481cda9ff4d8810fcba05abd96e&query=[{%22value%22:%22Diagnostic%20COVID-19%22}],Clinical Radiology,"RT-PCR, ELISA, HTS",5,"RT-qPCR can only achieve a sensitivity of 50% to 79%, depending on the protocol used the sample type and number of clinical specimens collected. The sensitivity of SARS-CoV N-based IgG ELISA (94.7%) is significantly higher than that of SARS-CoV S-based IgG ELISA (58.9%), but the sensitivity of SARS-CoV-2 IgG/IgM remains to be studied.",,Y,Systematic Review,sirjallex@gmail.com,2020-04-25
15,2020-03-03,Clinical significance of IgM and IgG test for diagnosis of highly suspected COVID-19 infection medrxiv,https://doi.org/10.1101/2020.02.28.20029025,medRxiv,Serology (IgM & IgG Ab Eval),57,The positive detection rate of combination of IgM and IgG for patients with COVID-19 negative and positive nucleic acid test was 72.73% and 87.50%.,,Y,Prospective Cohort ,sirjallex@gmail.com,2020-04-25
16,2020-03-02,Imaging manifestations and diagnostic value of chest CT of coronavirus disease 2019 (COVID-19) in the Xiaogan area,https://covid19search.azurewebsites.net/home/document?docid=ac80b578181504b29f62b712b8be899394e284d6&query=[{%22value%22:%22Diagnostic%20COVID-19%22}],Clinical Radiology,Spiral CT,114,"Rate of the CT examination in the diagnosis of SARS-CoV-2 infection was only 76.4%. Only three cases (2.6%) in this study showed no apparent abnormalities in the lungs at the initial CT examination, and the overall accuracy rate of CT examination in the present study was 97.3%",Hours,Y,Retrospective Cohort Study,sirjallex@gmail.com,2020-04-25
17,2020-03-01,Recent advances and perspectives of nucleic acid detection for coronavirus,https://www.sciencedirect.com/science/article/pii/S2095177920302082?via%3Dihub,Journal of Pharmaceutical Analysis,RT-PCR; RT-LAMP; Microarray; CRISPR;,,"High Sensitivity and Specificity of RT-PCR; RT-LAMP, Microarray and CRISPR are analagous",LAMP >1hr; ,Y,Review ,sirjallex@gmail.com,2020-04-25
18,2020-02-29,Rapid Molecular Detection of SARS-CoV-2 (COVID-19) Virus RNA Using Colorimetric LAMP medrxiv,https://www.medrxiv.org/content/10.1101/2020.02.26.20028373v1,medRxiv,"RT-LAMP, mNGS, rRT-PCR",19,"Colorimetric LAMP assay showed 100% agreement with the RT-qPCR results across a range of Cq values,",~40 mins,Y,Simulation Study,sirjallex@gmail.com,2020-04-25
19,2020-02-27,Development and clinical application of a rapid IgM‐IgG combined antibody test for SARS‐CoV‐2 infection diagnosis,https://onlinelibrary.wiley.com/doi/full/10.1002/jmv.25727,Journal of medical viriology ,Serology,525,"the IgG‐IgM combined antibody test kit, has a sensitivity of 88.66% and specificity of 90.63%.",<15 minutes,?,Clinical trial,amnaafreen@mail.rossmed.edu & sirjallex@gmail.com,2020-04-25
20,2020-02-27,"Differential diagnosis of illness in patients under investigation for the novel coronavirus (SARS-CoV-2), Italy, February 2020 Euro Surveill",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7055037/,Eurosurveillance,rRT-PCR kit (QIAStat-Dx Respiratory Panel),126,"Broad screening for respiratory pathogens revealed a high rate of influenza virus infections, accounting for 28.5% of all suspected cases of SARS-CoV-2 infection.",,Y,Retrospective Cohort Study,sirjallex@gmail.com,2020-04-25
21,2020-02-26,Diagnosis of the Coronavirus disease (COVID-19): rRT-PCR or CT?,https://www.ejradiology.com/article/S0720-048X(20)30150-9/pdf,European Journal of Radiology,"CT, rRT-PCR",36,"Sensitivity of CT examinations was 97.2% at presentation, whereas first round rRT-PCR sensitivity was 84.6%",RT-PCR 5-6 hrs; CT <5 hours,Y,Retrospective Cohort,sirjallex@gmail.com,2020-04-25
22,2020-02-26,"Potential Rapid Diagnostics, Vaccine and Therapeutics for 2019 Novel Coronavirus (2019-nCoV): A Systematic Review.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7141113/,Journal of Clinical Medicine,RT-PCR; RT-LAMP; RT-iiPCR; One Step rRT-PCR; ELISA,16 studies,"The sensitivity, specificity, positive predictive value, and negative predictive value of the test were ELISA: 98.2%, 98.7%, 98.7%, and 98.4%; RT-PCR: 52.2%, 78.7%, 74.5%, and 58.1%. Real-time RT-PCR was able to detect at level as low as 1.6 copies of MERS-CoV RNA while RT-LAMP was also able to detect viral RNA at levels as low as 0.7 copies, showing equivalence with the RT-PCR assay. Overall agreement between RT-iiPCR assays and reference RT-qPCR assays were 98.06% (95% CI, 94.43–100%) and 99.03% (95% CI, 95.88–100%) for ORF1a and upE assays, respectively.",,Y,Review,ker98@georgetown.edu & sirjallex@gmail.com,2020-04-25
23,2020-02-25,"SARS-CoV-2 can be detected in urine, blood, anal swabs and oropharyngeal swabs specimens.",https://www.medrxiv.org/content/medrxiv/early/2020/02/25/2020.02.21.20026179.full.pdf,MedRxIV,RT-PCR,9,"RT-PCR was used to detect SARS-CoV-2 RNA in urine and blood specimens, and anal and oropharyngeal swabs (n=9)",,N,Clinical trial,ker98@georgetown.edu,2020-04-25
24,2020-02-25,Laboratory diagnosis of emerging human coronavirus infections – the state of the art,https://www.ncbi.nlm.nih.gov/pubmed/32196430,Emerging Microbes & Infections ,"Antigen EIA; Antigen IFA; Cell culture; Serology; NAAT (PCR), monoplex, pan-HCoV; NAAT (PCR), monoplex, specific-HCoV; NAAT (PCR), multiplex; NAAT (PCR), POCT",406,"Rapid, poor sensitivity, some are CLIA-waived; Good sensitivity and specificity, subjective interpretation; Gold standard, pure culture for further research and development, time consuming; Retrospective, cross-reaction; High sensitivity with universal coverage of all species of HCoV; High sensitivity and specificity for special species, potential quantification; High sensitivity and specificity, covering other pathogens, FilmArray RP EZ is CLIA-waived; Rapid and safe, good sensitivity and specificity, some are CLIA-waived",<30 min; 1–4 h; 1–7 days; 2–8 h; 1–8 h; 1–8 h; 1–8 h; 15-30 min,Y,Systematic Review,amnaafreen@mail.rossmed.edu & sirjallex@gmail.com,2020-04-25
25,2020-02-24,Rapid colorimetric detection of COVID-19 coronavirus using a reverse transcriptional loop-mediated isothermal amplification (RT-LAMP) diagnostic platform: iLACO,https://www.medrxiv.org/content/10.1101/2020.02.20.20025874v1,medRxiv,iLAMP,43,"iLACO is very sensitive, and as low as 10 copies of ORF1ab gene were detected successfully.",2-3 hours,Y,Simulation,sirjallex@gmail.com,2020-0425
26,2020-02-24,Rapid Detection of Novel Coronavirus (COVID-19) by Reverse Transcription-Loop-Mediated Isothermal Amplification,https://www.medrxiv.org/content/10.1101/2020.02.19.20025155v1,medRxiv,RT-LAMP; RT-PCR,,RT-LAMP is specific and sensitive for COVID-19 (unspecified); RT-PCR has high sensitivity and specificity ,RT-LAMP <30mins,Y,Simulation,sirjallex@gmail.com,2020-04-25
27,2020-02-23,Comparison of throat swabs and sputum specimens for viral nucleic acid detection in 52 cases of novel coronavirus (SARS-Cov-2) infected pneumonia (COVID-19),https://www.medrxiv.org/content/10.1101/2020.02.21.20026187v1.article-info,medRxiv,rRT-PCR,54,"The positive rates of 2019-nCoV from sputum specimens and throat swabs 12 were 76.9% and 44.2%, respectively. Sputum specimens showed a significantly 13 higher positive rate than throat swabs in detecting viral nucleic acid using qRT-PCR 14 assay (P=0.001).",1-2 hours,Y,Retrospective Cohort,sirjallex@gmail.com,2020-04-25
28,2020-02-19,"2019 novel coronavirus disease (COVID-19) in Taiwan: Reports of two cases from Wuhan, China Journal of Microbiology, Immunology and Infection",https://www.sciencedirect.com/science/article/pii/S1684118220300372?via%3Dihub,"Journal of Microbiology, Immunology and Infection",RT-PCR & CXR,2,Unknown,Hours,Y,Case Report,sirjallex@gmail.com,2020-04-25
29,2020-02-16,"A  Single and Two-Stage, Closed-Tube, Molecular Test for the 2019  Novel Coronavirus (COVID-19)at Home, Clinic, and Points of Entry",https://chemrxiv.org/articles/A_Single_and_Two-Stage_Closed-Tube_Molecular_Test_for_the_2019_Novel_Coronavirus_COVID-19_at_Home_Clinic_and_Points_of_Entry/11860137,ChemRxiv,RT-LAMP; Penn-RAMP; RT-PCR,,"COVID-19 LAMP and COVID-19 PCR provided 100% sensitivity at 700 viral particles per reaction and 75% sensitivity at 70 viral copies per reaction (Table 2). In contrast, COVID-19 Closed-Tube Penn-RAMP provided 100%",<1 Hour,N,Proof of concept,keeterwc@evms.edu & sirjallex@gmail.com,2020-04-25
30,2020-02-13,Clinical diagnosis of 8274 samples with 2019-novel coronavirus in Wuhan medrxiv,https://www.medrxiv.org/content/10.1101/2020.02.12.20022327v2,medRxiv,rRT-PCR,8274,Unknown,< 24 hrs,Y,Retrospective Cohort Study ,sirjallex@gmail.com,2020-04-25
31,2020-02-04,Recent advances in the detection of respiratory virus infection in humans Journal of Medical Virology,https://onlinelibrary.wiley.com/doi/full/10.1002/jmv.25674,Journal of Medical Virology,"RT-PCR, rRT-PCR, RT-LAMP, rRT-LAMP",,"Sensitivity and specificity of rRT‐PCR kits for detecting upE and ORF1a reach 100% (95% confidence interval [CI], 0.60‐1.00) and 100% (95% CI, 0.79‐1.00), respectively.The RT‐LAMP‐VF assay can detect 2 × 101 copies/μL of synthesized RNA transcript and 1 × 101 copies/μL of MERS‐CoV RNA without cross‐reactivity to multiple SARS‐related‐CoVs, including HKU1, HKU4, OC43 and 229E, thus exhibiting high specificity.",RT-LAMP <20 mins,Y,Systematic Review,sirjallex@gmail.com,2020-04-25
32,2020-01-31,Molecular Diagnosis of a Novel Coronavirus (2019-nCoV) Causing an Outbreak of Pneumonia,https://academic.oup.com/clinchem/article/66/4/549/5719336,Clinical Chemistry,One step RT-PCR,2,"The amplification efficiencies of ORF1b and N gene assays were 99.6% and 95.4%, respectively (R2 > 0.99 in both cases).",75 mins,N,Simlation Study,keeterwc@evms.edu & sirjallex@gmail.com,2020-04-23
33,2020-01-22,Detection of 2019 novel coronavirus (2019-nCoV) by real-time RT-PCR,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6988269/,Eurosurveillance,RT-PCR,297,"All assays were highly sensitive, with best results obtained for the E gene and RdRp gene assays (5.2 and 3.8 copies per reaction at 95% detection probability, respectively).",2.5 hr,Y,Retrospective Cohort,keeterwc@evms.edu & sirjallex@gmail.com,2020-04-23
